fixedacidity;volatileacidity;citricacid;residualsugar;chlorides;freesulfurdioxide;totalsulfurdioxide;density;pH;sulphates;alcohol;quality
6;,26;,15;1,2;,053;35;124;,99347;3,08;,46;8,8;3
7,5;,28;,78;12,1;,041;53;161;,99838;2,98;,44;8,7;3
7,5;,27;,79;11,95;,04;51;159;,99839;2,98;,44;8,7;3
5,2;,16;,34;,8;,029;26;77;,99155;3,25;,51;10,1;4
6,8;,34;,1;1,4;,049;29;118;,9936;3,21;,41;9,5;3
7,6;,25;,34;1,3;,056;34;176;,99434;3,1;,51;9,5;3
8,8;,24;,23;10,3;,032;12;97;,99571;3,13;,4;10,7;4
6;,29;,21;15,55;,043;20;142;,99658;3,11;,54;10,1;4
6,1;,27;,31;1,5;,035;17;83;,99076;3,32;,44;11,1;5
7,4;,56;,09;1,5;,071;19;117;,99496;3,22;,53;9,8;3
6,8;,29;,49;1,4;,142;52;148;,9937;3,08;,49;9;4
6,1;,27;,31;1,5;,035;17;83;,99076;3,32;,44;11,1;5
6,3;,27;,37;7,9;,047;58;215;,99542;3,19;,48;9,5;4
6,6;,24;,3;13;,052;18;143;,99825;3,37;,49;9,4;4
6,8;,32;,3;1;,049;22;113;,99289;3,24;,61;10,2;3
6,4;,37;,37;4,85;,041;39,5;216,5;,99432;3,1;,5;9,8;4
6,7;,24;,32;10,3;,079;37;122;,99662;3,02;,45;8,8;3
7,9;,27;,27;1,7;,034;25;122;,99088;2,97;,51;11,9;4
7,9;,27;,27;1,7;,034;25;122;,99088;2,97;,51;11,9;4
6,1;,28;,24;19,95;,074;32;174;,99922;3,19;,44;9,3;4
7,7;,39;,49;7,7;,036;11;110;,9966;3,33;,76;10;4
6;,2;,24;5,3;,075;49;201;,99466;3,21;,43;9,5;3
6,1;,28;,24;19,95;,074;32;174;,99922;3,19;,44;9,3;4
7,6;,31;,23;12,7;,054;20;139;,99836;3,16;,5;9,7;2
7,6;,31;,23;12,7;,054;20;139;,99836;3,16;,5;9,7;2
6,3;,18;,22;1,5;,043;45;155;,99238;3,19;,48;10,2;3
8,6;,23;,25;11,3;,031;13;96;,99645;3,11;,4;10,8;3
6,8;,21;,36;18,1;,046;32;133;1;3,27;,48;8,8;3
6,8;,21;,36;18,1;,046;32;133;1;3,27;,48;8,8;3
6,8;,21;,36;18,1;,046;32;133;1;3,27;,48;8,8;3
8,6;,34;,36;1,4;,045;11;119;,99556;3,17;,47;9,4;2
8,6;,34;,36;1,4;,045;11;119;,99556;3,17;,47;9,4;2
8,5;,3;,28;3,1;,054;54;174;,99543;3,21;,43;9,4;4
6,6;,32;,34;7,7;,044;63;212;,99526;3,22;,48;9,7;4
7,1;,34;,31;5,2;,032;36;140;,99166;3,35;,47;12,3;5
8;,27;,57;10,4;,053;18;134;,99732;3,12;,68;9;3
6,2;,28;,45;7,5;,045;46;203;,99573;3,26;,46;9,2;4
6,2;,3;,49;11,2;,058;68;215;,99656;3,19;,6;9,4;4
5,6;,175;,29;,8;,043;20;67;,99112;3,28;,48;9,9;4
6,9;,34;,36;1,4;,032;13;145;,99214;3,07;,52;9,8;3
7,1;,12;,3;3,1;,018;15;37;,99004;3,02;,52;11,9;5
7,1;,32;,29;4;,038;33;170;,99463;3,27;,64;10,2;4
7,3;,51;,29;11,3;,034;61;224;,99683;3,14;,56;9,5;4
7,1;,12;,3;3,1;,018;15;37;,99004;3,02;,52;11,9;5
6,3;,24;,55;8,1;,04;67;216;,99596;3,24;,5;9,2;3
7,5;,41;,23;14,8;,054;28;174;,99898;3,18;,49;9,7;3
6,5;,18;,33;1,4;,029;35;138;,99114;3,36;,6;11,5;5
7,5;,41;,23;14,8;,054;28;174;,99898;3,18;,49;9,7;3
6,5;,18;,33;1,4;,029;35;138;,99114;3,36;,6;11,5;5
7,3;,16;,35;1,5;,036;29;108;,99342;3,27;,51;10,2;4
6,6;,42;,13;12,8;,044;26;158;,99772;3,24;,47;9;3
6,7;,54;,27;7,1;,049;8;178;,99502;3,16;,38;9,4;2
6,7;,54;,27;7,1;,049;8;178;,99502;3,16;,38;9,4;2
6,4;,22;,3;11,2;,046;53;149;,99479;3,21;,34;10,8;3
6,8;,23;,3;1,7;,043;19;95;,99207;3,17;,46;10,7;5
9;,26;,34;6,7;,029;21;162;,99497;3,08;,5;10,6;4
6,5;,23;,25;17,3;,046;15;110;,99828;3,15;,42;9,2;4
5,9;,28;,14;8,6;,032;30;142;,99542;3,28;,44;9,5;4
6,2;,27;,18;1,5;,028;20;111;,99228;3,41;,5;10;3
9;,26;,34;6,7;,029;21;162;,99497;3,08;,5;10,6;4
8,9;,27;,34;10,7;,029;19,5;166;,99669;3,13;,48;10,6;3
6,5;,23;,25;17,3;,046;15;110;,99828;3,15;,42;9,2;4
6,7;,5;,38;7,5;,046;26;175;,99662;3,32;,54;9,6;3
6,2;,33;,14;4,8;,052;27;128;,99475;3,21;,48;9,4;3
6,3;,26;,42;7,1;,045;62;209;,99544;3,2;,53;9,5;4
7,5;,2;,47;16,9;,052;51;188;,99944;3,09;,62;9,3;3
6,2;,33;,14;4,8;,052;27;128;,99475;3,21;,48;9,4;3
6,3;,26;,42;7,1;,045;62;209;,99544;3,2;,53;9,5;4
6,6;,36;,52;11,3;,046;8;110;,9966;3,07;,46;9,4;3
6,3;,13;,42;1,1;,043;63;146;,99066;3,13;,72;11,2;5
6,4;,15;,44;1,2;,043;67;150;,9907;3,14;,73;11,2;5
6,3;,13;,42;1,1;,043;63;146;,99066;3,13;,72;11,2;5
6,4;,15;,44;1,2;,043;67;150;,9907;3,14;,73;11,2;5
6,3;,13;,42;1,1;,043;63;146;,99066;3,13;,72;11,2;5
5,7;,255;,65;1,2;,079;17;137;,99307;3,2;,42;9,4;3
6,9;,32;,26;2,3;,03;11;103;,99106;3,06;,42;11,1;4
6,9;,28;,22;10;,052;36;131;,99696;3,08;,46;9,6;3
6,9;,32;,26;2,3;,03;11;103;,99106;3,06;,42;11,1;4
5,7;,255;,65;1,2;,079;17;137;,99307;3,2;,42;9,4;3
6,6;,41;,16;1,4;,037;28;160;,99167;2,95;,45;10,6;4
7,3;,37;,16;14,9;,048;59;240;,99902;3,13;,45;8,9;3
6,9;,21;,24;1,8;,021;17;80;,98992;3,15;,46;12,3;5
6,6;,24;,28;1,8;,028;39;132;,99182;3,34;,46;11,4;3
6,6;,24;,24;8,6;,034;25;135;,99582;3,33;,59;10,3;4
6,6;,24;,28;1,8;,028;39;132;,99182;3,34;,46;11,4;3
7;,14;,28;1,3;,026;10;56;,99352;3,46;,45;9,9;3
6,3;,34;,36;4,9;,035;31;185;,9946;3,15;,49;9,7;3
6,8;,26;,24;1,9;,043;70;154;,99273;3,18;,52;10,5;3
6,7;,17;,42;10,4;,038;85;182;,99628;3,04;,44;8,9;4
6,5;,27;,4;10;,039;74;227;,99582;3,18;,5;9,4;3
6,7;,25;,36;8,6;,037;63;206;,99553;3,18;,5;9,6;3
5,8;,3;,27;1,7;,014;45;104;,98914;3,4;,56;12,6;5
6,4;,28;,56;1,7;,156;49;106;,99354;3,1;,37;9,2;4
7,7;,3;,26;18,95;,053;36;174;,99976;3,2;,5;10,4;3
6,8;,18;,3;12,8;,062;19;171;,99808;3;,52;9;5
6,8;,18;,3;12,8;,062;19;171;,99808;3;,52;9;5
6,8;,18;,3;12,8;,062;19;171;,99808;3;,52;9;5
6,8;,18;,3;12,8;,062;19;171;,99808;3;,52;9;5
5,1;,14;,25;,7;,039;15;89;,9919;3,22;,43;9,2;4
6,8;,18;,3;12,8;,062;19;171;,99808;3;,52;9;5
7,2;,615;,1;1,4;,068;25;154;,99499;3,2;,48;9,7;2
6,9;,13;,28;13,3;,05;47;132;,99655;3,34;,42;10,1;4
7,3;,32;,29;1,5;,038;32;144;,99296;3,2;,55;10,8;3
6,3;,21;,29;11,7;,048;49;147;,99482;3,22;,38;10,8;3
5,4;,5;,13;5;,028;12;107;,99079;3,48;,88;13,5;5
7,8;,28;,31;2,1;,046;28;208;,99434;3,23;,64;9,8;3
6,4;,22;,34;1,4;,023;56;115;,98958;3,18;,7;11,7;4
7,8;,28;,31;2,1;,046;28;208;,99434;3,23;,64;9,8;3
6,9;,32;,27;16;,034;58;185;,99938;3,34;,6;9;4
6,8;,11;,42;1,1;,042;51;132;,99059;3,18;,74;11,3;5
6,2;,26;,32;15,3;,031;64;185;,99835;3,31;,61;9,4;3
6,4;,22;,34;1,4;,023;56;115;,98958;3,18;,7;11,7;4
6,7;,3;,29;2,8;,025;37;107;,99159;3,31;,63;11,3;5
8,9;,26;,33;8,1;,024;47;202;,99558;3,13;,46;10,8;4
7,5;,25;,32;8,2;,024;53;209;,99563;3,12;,46;10,8;4
7,1;,2;,3;,9;,019;4;28;,98931;3,2;,36;12;4
6,3;,27;,46;11,1;,053;44;177;,99691;3,18;,67;9,4;3
6,5;,3;,39;7,8;,038;61;219;,9959;3,19;,5;9,4;3
6,7;,3;,29;2,8;,025;37;107;,99159;3,31;,63;11,3;5
6,6;,36;,52;10,1;,05;29;140;,99628;3,07;,4;9,4;3
6,15;,21;,37;3,2;,021;20;80;,99076;3,39;,47;12;3
6,5;,18;,41;14,2;,039;47;129;,99678;3,28;,72;10,3;5
6,5;,18;,41;14,2;,039;47;129;,99678;3,28;,72;10,3;5
6,5;,18;,41;14,2;,039;47;129;,99678;3,28;,72;10,3;5
6,6;,26;,21;2,9;,026;48;126;,99089;3,22;,38;11,3;5
6,5;,28;,28;20,4;,041;40;144;1,0002;3,14;,38;8,7;3
6,6;,36;,52;10,1;,05;29;140;,99628;3,07;,4;9,4;3
6,6;,26;,21;2,9;,026;48;126;,99089;3,22;,38;11,3;5
6,5;,18;,41;14,2;,039;47;129;,99678;3,28;,72;10,3;5
4,5;,19;,21;,95;,033;89;159;,99332;3,34;,42;8;3
8;,24;,26;1,7;,033;36;136;,99316;3,44;,51;10,4;5
7,8;,17;,23;1,7;,029;39;128;,99272;3,37;,41;10,7;5
7;,24;,24;9;,03;42;219;,99636;3,47;,46;10,2;4
5,8;,6;0;1,3;,044;72;197;,99202;3,56;,43;10,9;3
6,7;,28;,28;2,4;,012;36;100;,99064;3,26;,39;11,7;5
6,8;,44;,2;16;,065;61;186;,99884;3,13;,45;8,6;3
7,2;,24;,27;11,4;,034;40;174;,99773;3,2;,44;9;3
8,7;,31;,73;14,35;,044;27;191;1,00013;2,96;,88;8,7;3
8,7;,31;,73;14,35;,044;27;191;1,00013;2,96;,88;8,7;3
7,4;,2;,37;1,2;,028;28;89;,99132;3,14;,61;11,8;4
7,6;,23;,4;5,2;,066;14;91;,99488;3,17;,8;9,7;3
8,1;,33;,22;5,2;,047;24;151;,99527;3,22;,47;10,3;3
7,15;,17;,24;9,6;,119;56;178;,99578;3,15;,44;10,2;4
6,7;,12;,3;5,2;,048;38;113;,99352;3,33;,44;10,1;5
5,7;,18;,36;1,2;,046;9;71;,99199;3,7;,68;10,9;5
5,8;,15;,28;,8;,037;43;127;,99198;3,24;,51;9,3;3
6,6;,23;,29;14,45;,057;29;144;,99756;3,33;,54;10,2;4
7,15;,17;,24;9,6;,119;56;178;,99578;3,15;,44;10,2;4
7,3;,22;,31;2,3;,018;45;80;,98936;3,06;,34;12,9;5
6,4;,28;,27;11;,042;45;148;,99786;3,14;,46;8,7;3
6,9;,4;,22;5,95;,081;76;303;,99705;3,4;,57;9,4;3
6,8;,19;,23;5,1;,034;71;204;,9942;3,23;,69;10,1;3
7,1;,23;,24;5,4;,039;60;196;,9948;3,19;,78;10;2
6,45;,14;,42;1,2;,05;51;129;,99116;3,27;,69;11,1;5
7,1;,15;,34;1;,033;27;73;,98974;3,24;,41;12,2;4
6,7;,33;,34;6,6;,067;35;156;,99542;3,11;,48;9,3;4
7,2;,3;,26;1,5;,041;46;178;,99154;3,19;,56;11,3;4
8;,13;,25;1,1;,033;15;86;,99044;2,98;,39;11,2;6
6,2;,21;,34;6,6;,03;36;91;,9914;3,32;,45;12,5;5
8,3;,4;,41;8,2;,05;15;122;,9979;3,39;,49;9,3;3
5,9;,34;,31;2;,03;38;142;,98892;3,4;,41;12,9;5
6,6;,12;,25;1,4;,039;21;131;,99114;3,2;,45;11,2;5
5,9;,34;,31;2;,03;38;142;,98892;3,4;,41;12,9;5
5,9;,3;,3;2;,03;38;142;,98892;3,41;,41;12,9;5
7,2;,35;,25;5,6;,032;23;120;,99334;2,93;,66;10,3;5
7,2;,32;,24;5,6;,033;23;120;,99334;2,92;,66;10,3;5
7,6;,1;,33;1;,031;33;93;,99094;3,06;,68;11,2;4
6,2;,25;,31;3,2;,03;32;150;,99014;3,18;,31;12;4
7,1;,31;,17;1;,042;21;144;,99304;3,13;,4;9,6;3
7,6;,18;,28;7,1;,041;29;110;,99652;3,2;,42;9,2;4
8;,17;,29;2,4;,029;52;119;,98944;3,03;,33;12,9;4
7,2;,19;,27;11,2;,061;46;149;,99772;2,99;,59;9,3;4
7,6;,32;,25;9,5;,03;15;136;,99367;3,1;,44;12,1;4
7,1;,31;,17;1;,042;21;144;,99304;3,13;,4;9,6;3
6,6;,21;,29;1,8;,026;35;128;,99183;3,37;,48;11,2;4
7,6;,18;,28;7,1;,041;29;110;,99652;3,2;,42;9,2;4
6,9;,3;,25;3,3;,041;26;124;,99428;3,18;,5;9,3;4
6,2;,28;,27;10,3;,03;26;108;,99388;3,2;,36;10,7;4
6,9;,31;,32;1,2;,024;20;166;,99208;3,05;,54;9,8;4
6,7;,23;,25;1,6;,036;28;143;,99256;3,3;,54;10,3;4
6,2;,28;,27;10,3;,03;26;108;,99388;3,2;,36;10,7;4
5,7;,23;,28;9,65;,025;26;121;,9925;3,28;,38;11,3;4
7;,18;,37;1,5;,043;16;104;,99216;3,18;,5;10,8;3
6,9;,31;,32;1,2;,024;20;166;,99208;3,05;,54;9,8;4
6,9;,3;,25;3,3;,041;26;124;,99428;3,18;,5;9,3;4
6,5;,46;,31;5;,027;15;72;,99165;3,26;,6;11,5;5
6,5;,23;,36;16,3;,038;43;133;,99924;3,26;,41;8,8;3
6,5;,23;,36;16,3;,038;43;133;,99924;3,26;,41;8,8;3
6,6;,26;,38;6,5;,17;68;201;,9956;3,19;,38;9,4;4
6,7;,26;,39;6,4;,171;64;200;,99562;3,19;,38;9,4;4
7,5;,28;,39;10,2;,045;59;209;,9972;3,16;,63;9,6;4
6,5;,23;,36;16,3;,038;43;133;,99924;3,26;,41;8,8;3
6,8;,23;,42;7,4;,044;56;189;,9958;3,22;,48;9,3;4
7,8;,25;,34;13,7;,044;66;184;,99976;3,22;,75;8,9;3
7,8;,25;,34;13,7;,044;66;184;,99976;3,22;,75;8,9;3
5,6;,2;,22;1,3;,049;25;155;,99296;3,74;,43;10;3
6,4;,21;,44;7,4;,045;47;182;,9957;3,24;,46;9,1;3
6,8;,23;,42;7,4;,044;56;189;,9958;3,22;,48;9,3;4
7,8;,25;,28;7,2;,04;46;179;,99541;3,14;,6;10,1;4
7,8;,25;,34;13,7;,044;66;184;,99976;3,22;,75;8,9;3
6,8;,16;,29;10,4;,046;59;143;,99518;3,2;,4;10,8;4
5,2;,28;,29;1,1;,028;18;69;,99168;3,24;,54;10;4
8,2;,37;,64;13,9;,043;22;171;,99873;2,99;,8;9,3;3
7,6;,4;,27;5,2;,03;32;101;,99172;3,22;,62;12,3;5
6,9;,23;,32;16,4;,045;62;153;,9972;3,22;,42;10,5;3
5,3;,2;,31;3,6;,036;22;91;,99278;3,41;,5;9,8;4
6,5;,35;,28;12,4;,051;86;213;,9962;3,16;,51;9,9;4
6,5;,29;,31;1,7;,035;24;79;,99053;3,27;,69;11,4;5
6,8;,3;,22;6,2;,06;41;190;,99858;3,18;,51;9,2;3
7,9;,51;,36;6,2;,051;30;173;,9984;3,09;,53;9,7;3
7,9;,51;,34;2,6;,049;13;135;,99335;3,09;,51;10;3
6,5;,29;,31;1,7;,035;24;79;,99053;3,27;,69;11,4;5
6,5;,17;,31;1,5;,041;34;121;,99092;3,06;,46;10,5;4
6,9;,615;,42;12;,067;24;131;,99727;3,19;,34;9,3;3
6,8;,32;,28;4,8;,034;25;100;,99026;3,08;,47;12,4;5
6,9;,615;,42;12;,067;24;131;,99727;3,19;,34;9,3;3
8;,23;,28;2,7;,048;49;165;,9952;3,26;,72;9,5;4
6,7;,27;,33;3,6;,034;9;45;,99144;3,08;,4;10,5;4
6,7;,44;,22;4,3;,032;19;99;,99015;3,26;,53;12,8;5
7,3;,26;,33;11,8;,057;48;127;,99693;3,1;,55;10;4
5,8;,17;,34;1,8;,045;96;170;,99035;3,38;,9;11,8;6
6,8;,17;,36;1,4;,036;38;108;,99006;3,19;,66;12;4
5,8;,315;,27;1,55;,026;15;70;,98994;3,37;,4;11,9;6
5,9;,17;,28;,7;,027;5;28;,98985;3,13;,32;10,6;3
6,6;,34;,18;6,4;,082;47;240;,9971;3,42;,48;9,2;3
8,6;,33;,34;11,8;,059;42;240;,99882;3,17;,52;10;4
5,6;,12;,26;4,3;,038;18;97;,99477;3,36;,46;9,2;3
5,8;,13;,26;5,1;,039;19;103;,99478;3,36;,47;9,3;4
7,7;,16;,36;5,9;,054;25;148;,99578;3,25;,54;10,2;4
7,3;,32;,35;1,4;,05;8;163;,99244;3,24;,42;10,7;3
7,7;,3;,34;1,2;,048;4;119;,99084;3,18;,34;12,1;4
7,7;,3;,34;1,2;,048;4;119;,99084;3,18;,34;12,1;4
7,3;,32;,35;1,4;,05;8;163;,99244;3,24;,42;10,7;3
6,4;,44;,44;14,4;,048;29;228;,99955;3,26;,54;8,8;5
6,3;,2;,24;1,7;,052;36;135;,99374;3,8;,66;10,8;4
6,2;,29;,32;3,6;,026;39;138;,9892;3,31;,37;13,1;5
7,6;,39;,32;3,6;,035;22;93;,99144;3,08;,6;12,5;5
7;,36;,32;10,05;,045;37;131;,99352;3,09;,33;11,7;6
7;,36;,32;10,05;,045;37;131;,99352;3,09;,33;11,7;6
7,6;,2;,36;1,9;,043;24;111;,99237;3,29;,54;11,3;4
7,6;,39;,32;3,6;,035;22;93;,99144;3,08;,6;12,5;5
6,7;,2;,37;1,65;,025;42;103;,99022;3,11;,45;11,4;3
6,2;,235;,34;1,9;,036;4;117;,99032;3,4;,44;12,2;3
7,8;,965;,6;65,8;,074;8;160;1,03898;3,39;,69;11,7;4
7,1;,2;,31;6,85;,053;32;211;,99587;3,31;,59;10,4;4
7,1;,2;,31;7,4;,053;32;211;,99587;3,31;,59;10,4;4
7,1;,2;,31;7,4;,053;32;211;,99587;3,31;,59;10,4;4
6,4;,24;,25;20,2;,083;35;157;,99976;3,17;,5;9,1;3
8;,3;,36;11;,034;8;70;,99354;3,05;,41;12,2;4
6,4;,24;,25;20,2;,083;35;157;,99976;3,17;,5;9,1;3
6,9;,4;,42;6,2;,066;41;176;,99552;3,12;,54;9,4;3
6,9;,4;,43;6,2;,065;42;178;,99552;3,11;,53;9,4;3
7,1;,2;,31;6,85;,053;32;211;,99587;3,31;,59;10,4;4
6,5;,37;,3;2,2;,033;39;107;,98894;3,22;,53;13,5;5
6,8;,35;,53;10,1;,053;37;151;,9963;3,07;,4;9,4;3
6,4;,22;,32;7,2;,028;15;83;,993;3,13;,55;10,9;6
6,5;,37;,3;2,2;,033;39;107;,98894;3,22;,53;13,5;5
6,8;,35;,53;10,1;,053;37;151;,9963;3,07;,4;9,4;3
6,9;,31;,32;1,6;,036;34;114;,99068;3,19;,45;11,4;5
6,7;,16;,37;1,3;,036;45;125;,98964;3,19;,51;12,4;5
6,8;,26;,44;8,2;,046;52;183;,99584;3,2;,51;9,4;3
5,6;,15;,31;5,3;,038;8;79;,9923;3,3;,39;10,5;4
7,3;,2;,26;1,6;,04;36;123;,99238;3,34;,44;10,8;4
7,5;,18;,72;9,6;,039;53;151;,99802;3,03;,46;8,9;3
7,8;,26;,31;3,6;,025;22;100;,99066;2,99;,47;12,1;5
7,4;,3;,32;1,7;,03;23;128;,9929;3,17;,66;10,9;3
6,7;,16;,34;1,6;,026;27;109;,9934;3,34;,58;10,1;4
5,8;,32;,31;2,7;,049;25;153;,99067;3,44;,73;12,2;5
6,7;,19;,39;1;,032;14;71;,98912;3,31;,38;13;5
7,2;,17;,41;1,6;,052;24;126;,99228;3,19;,49;10,8;3
6;,11;,47;10,6;,052;69;148;,9958;2,91;,34;9,3;2
6;,21;,34;2;,042;63;123;,99052;3,44;,42;11,4;4
6,6;,4;,46;6,2;,056;42;241;,9968;3,5;,6;9,9;3
6,5;,2;,24;9,2;,044;25;150;,99502;3,22;,44;10,5;3
7,6;,27;,34;5;,04;18;56;,99084;3,06;,48;12,4;4
7,2;,26;,4;6,3;,047;52;172;,99573;3,18;,53;9,5;4
6,5;,22;,45;8;,053;52;196;,9959;3,23;,48;9,1;4
6,4;,14;,31;1,2;,034;53;138;,99084;3,38;,35;11,5;5
6,4;,14;,31;1,2;,034;53;138;,99084;3,38;,35;11,5;5
7,1;,26;,32;16,2;,044;31;170;,99644;3,17;,37;11,2;3
6,6;,22;,34;11,6;,05;59;140;,99526;3,22;,4;10,8;3
6,6;,45;,43;7,2;,064;31;186;,9954;3,12;,44;9,4;3
6,6;,17;,3;1,1;,031;13;73;,99095;3,17;,58;11;4
7,2;,44;,28;3,4;,048;22;112;,99188;3,21;,37;11,3;5
6,2;,15;,27;1,4;,041;51;117;,9909;3,28;,38;11,2;4
6,3;,25;,22;3,3;,048;41;161;,99256;3,16;,5;10,5;4
6,5;,22;,45;8;,053;52;196;,9959;3,23;,48;9,1;4
7,3;,26;,3;9,3;,05;35;154;,99581;3,21;,5;10,4;4
6,9;,15;,29;2,3;,033;14;82;,99132;3,1;,58;11,2;5
5,8;,22;,29;,9;,034;34;89;,98936;3,14;,36;11,1;5
5,5;,375;,38;1,7;,036;17;98;,99142;3,29;,39;10,5;4
5,9;,2;,4;1,3;,047;23;92;,99232;3,2;,45;10;4
5,9;,22;,38;1,3;,046;24;90;,99232;3,2;,47;10;4
8;,22;,31;5,6;,049;24;97;,993;3,1;,42;10,9;3
6,5;,22;,29;7,4;,028;16;87;,99311;3,15;,56;10,9;5
6,9;,15;,29;2,3;,033;14;82;,99132;3,1;,58;11,2;5
5,8;,2;,34;1;,035;40;86;,98993;3,5;,42;11,7;3
6,6;,31;,07;1,5;,033;55;144;,99208;3,16;,42;10;3
7,9;,2;,39;1;,041;37;154;,99093;3,08;,43;11,9;3
5,3;,16;,39;1;,028;40;101;,99156;3,57;,59;10,6;4
6,4;,21;,28;5,9;,047;29;101;,99278;3,15;,4;11;4
6,9;,33;,26;5;,027;46;143;,9924;3,25;,43;11,2;5
5,6;,18;,58;1,25;,034;29;129;,98984;3,51;,6;12;5
6,6;,29;,31;3,9;,027;39;96;,99035;3,24;,6;12,6;6
6,6;,21;,36;,8;,034;48;113;,99165;3,24;,68;10,5;4
7,3;,21;,33;1;,037;66;144;,9923;3,11;,52;10,2;4
6,4;,21;,28;5,9;,047;29;101;,99278;3,15;,4;11;4
5,1;,11;,32;1,6;,028;12;90;,99008;3,57;,52;12,2;4
6,5;,15;,32;1,3;,036;19;76;,98964;3,18;,41;12,3;4
5,3;,16;,39;1;,028;40;101;,99156;3,57;,59;10,6;4
5,6;,19;,46;1,1;,032;33;115;,9909;3,36;,5;10,4;4
5,6;,18;,58;1,25;,034;29;129;,98984;3,51;,6;12;5
6,7;,48;,32;1,4;,021;22;121;,9889;3,15;,53;12,7;5
6,2;,23;,23;1,2;,018;18;128;,99178;3,05;,28;10,6;3
6;,17;,29;5;,028;25;108;,99076;3,14;,34;12,3;4
6,7;,48;,32;1,4;,021;22;121;,9889;3,15;,53;12,7;5
6,7;,15;,38;1,7;,037;20;84;,99046;3,09;,53;11,4;4
4,2;,17;,36;1,8;,029;93;161;,98999;3,65;,89;12;5
5,8;,21;,32;1,6;,045;38;95;,98946;3,23;,94;12,4;6
5,4;,23;,36;1,5;,03;74;121;,98976;3,24;,99;12,1;5
6,7;,15;,38;1,7;,037;20;84;,99046;3,09;,53;11,4;4
6,4;,22;,31;13,9;,04;57;135;,99672;3,21;,38;10,7;3
5,9;,32;,33;2,1;,027;35;138;,98945;3,37;,42;12,7;4
5,7;,37;,3;1,1;,029;24;88;,98883;3,18;,39;11,7;4
7,9;,25;,35;6,7;,039;22;64;,99362;2,93;,49;10,7;3
7,2;,21;,28;2,7;,033;38;94;,99075;2,99;,43;11,8;5
7;,24;,3;6,7;,039;37;125;,99436;3,2;,39;9,9;3
6,9;,4;,3;10,6;,033;24;87;,99265;3,15;,45;12,8;4
6,6;,41;,31;1,6;,042;18;101;,99195;3,13;,41;10,5;3
6,4;,2;,28;2,5;,032;24;84;,99168;3,31;,55;11,5;3
8,4;,36;,36;11,1;,032;21;132;,99313;2,95;,39;13;4
5,2;,285;,29;5,15;,035;64;138;,9895;3,19;,34;12,4;6
6,9;,2;,3;4,7;,041;40;148;,9932;3,16;,35;10,2;4
6,7;,42;,46;9,7;,054;67;234;,99848;3,23;,5;9;3
6,2;,16;,34;1,7;,038;85;153;,9909;3,33;,86;12;5
6,4;,125;,36;1,4;,044;22;68;,99014;3,15;,5;11,7;5
6,4;,44;,26;2;,054;20;180;,9952;3,58;,57;10;3
7;,31;,39;7,5;,055;42;218;,99652;3,37;,54;10,3;3
6,7;,42;,46;9,7;,054;67;234;,99848;3,23;,5;9;3
6,2;,21;,26;13,1;,05;59;150;,99772;3,31;,46;9;3
6,1;,16;,37;1,1;,031;37;97;,9922;3,4;,58;10,5;4
6,2;,36;,14;8,9;,036;38;155;,99622;3,27;,5;9,4;3
5,7;,21;,25;1,1;,035;26;81;,9902;3,31;,52;11,4;4
7,6;,31;,26;1,7;,073;40;157;,9938;3,1;,46;9,8;3
6,6;,26;,46;6,9;,047;59;183;,99594;3,2;,45;9,3;3
6,2;,2;,31;1;,031;22;73;,99035;3,24;,52;11,3;4
6,2;,18;,3;1;,031;23;73;,99032;3,23;,52;11,3;4
6,1;,37;,2;7,6;,031;49;170;,99558;3,22;,48;9,5;3
6,2;,36;,14;8,9;,036;38;155;,99622;3,27;,5;9,4;3
6,5;,22;,32;2,2;,028;36;92;,99076;3,27;,59;11,9;5
7,7;,18;,3;1,2;,046;49;199;,99413;3,03;,38;9,3;3
6;,44;,26;3,1;,053;57;128;,98982;3,22;,39;12,7;4
7,1;,36;,4;1,95;,033;26;118;,98934;3,2;,45;13,5;5
5,7;,28;,28;2,2;,019;15;65;,9902;3,06;,52;11,2;4
6,4;,16;,32;8,75;,038;38;118;,99449;3,19;,41;10,7;3
7,4;,28;,4;11,9;,032;13;92;,99629;3,01;,46;10,8;2
6,5;,44;,47;5,45;,014;44;137;,98984;3,13;,32;13;6
6,9;,22;,31;6,3;,029;41;131;,99326;3,08;,49;10,8;4
6,6;,22;,29;14,4;,046;39;118;,99834;3,05;,5;9,1;4
7,7;,25;,3;7,8;,038;67;196;,99555;3,1;,5;10,1;3
7;,31;,31;9,1;,036;45;140;,99216;2,98;,31;12;5
7;,31;,31;9,1;,036;45;140;,99216;2,98;,31;12;5
6,6;,22;,29;14,4;,046;39;118;,99834;3,05;,5;9,1;4
5,6;,21;,4;1,3;,041;81;147;,9901;3,22;,95;11,6;6
6,4;,25;,32;11,3;,038;69;192;,99573;3,14;,5;10,2;4
6,9;,22;,31;6,3;,029;41;131;,99326;3,08;,49;10,8;4
5,3;,21;,29;,7;,028;11;66;,99215;3,3;,4;9,8;3
7,1;,27;,28;1,25;,023;3;89;,98993;2,95;,3;11,4;2
5,2;,17;,27;,7;,03;11;68;,99218;3,3;,41;9,8;3
7,7;,25;,3;7,8;,038;67;196;,99555;3,1;,5;10,1;3
7;,12;,29;10,3;,039;41;98;,99564;3,19;,38;9,8;6
7;,12;,29;10,3;,039;41;98;,99564;3,19;,38;9,8;6
